# Job,Month,RedTimeDays,AverageBuildTimeMinutes,JobUrl
angrychef-trigger-release,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/angrychef-trigger-release/
chef-11-trigger-ad_hoc,2015-12,19.27,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-01,30.00,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-02,28.00,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-03,30.00,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-04,29.00,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-05,30.00,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-06,29.00,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-11-trigger-ad_hoc,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/chef-11-trigger-ad_hoc/
chef-trigger-ad_hoc,2016-05,11.22,140.64,http://manhattan.ci.chef.co/job/chef-trigger-ad_hoc/
chef-trigger-ad_hoc,2016-06,24.85,83.43,http://manhattan.ci.chef.co/job/chef-trigger-ad_hoc/
chef-trigger-ad_hoc,2016-07,18.06,153.68,http://manhattan.ci.chef.co/job/chef-trigger-ad_hoc/
chef-trigger-release,2016-05,0.44,149.02,http://manhattan.ci.chef.co/job/chef-trigger-release/
chef-trigger-release,2016-06,15.26,180.82,http://manhattan.ci.chef.co/job/chef-trigger-release/
chef-trigger-release,2016-07,18.56,115.40,http://manhattan.ci.chef.co/job/chef-trigger-release/
chefdk-build,2016-03,5.05,73.98,http://manhattan.ci.chef.co/job/chefdk-build/
chefdk-build,2016-04,0.00,49.43,http://manhattan.ci.chef.co/job/chefdk-build/
chefdk-build,2016-05,14.43,0.00,http://manhattan.ci.chef.co/job/chefdk-build/
chefdk-build,2016-06,29.00,0.00,http://manhattan.ci.chef.co/job/chefdk-build/
chefdk-build,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/chefdk-build/
chefdk-test,2016-03,22.86,0.00,http://manhattan.ci.chef.co/job/chefdk-test/
chefdk-test,2016-04,29.00,0.00,http://manhattan.ci.chef.co/job/chefdk-test/
chefdk-test,2016-05,30.00,0.00,http://manhattan.ci.chef.co/job/chefdk-test/
chefdk-test,2016-06,29.00,0.00,http://manhattan.ci.chef.co/job/chefdk-test/
chefdk-test,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/chefdk-test/
chefdk-trigger-ad_hoc,2016-03,17.04,225.24,http://manhattan.ci.chef.co/job/chefdk-trigger-ad_hoc/
chefdk-trigger-ad_hoc,2016-04,23.85,115.58,http://manhattan.ci.chef.co/job/chefdk-trigger-ad_hoc/
chefdk-trigger-ad_hoc,2016-05,17.04,121.46,http://manhattan.ci.chef.co/job/chefdk-trigger-ad_hoc/
chefdk-trigger-ad_hoc,2016-06,17.98,185.91,http://manhattan.ci.chef.co/job/chefdk-trigger-ad_hoc/
chefdk-trigger-ad_hoc,2016-07,15.12,118.78,http://manhattan.ci.chef.co/job/chefdk-trigger-ad_hoc/
chefdk-trigger-release,2016-03,10.51,135.89,http://manhattan.ci.chef.co/job/chefdk-trigger-release/
chefdk-trigger-release,2016-04,12.96,137.76,http://manhattan.ci.chef.co/job/chefdk-trigger-release/
chefdk-trigger-release,2016-05,20.14,84.78,http://manhattan.ci.chef.co/job/chefdk-trigger-release/
chefdk-trigger-release,2016-06,13.22,106.59,http://manhattan.ci.chef.co/job/chefdk-trigger-release/
chefdk-trigger-release,2016-07,4.48,109.19,http://manhattan.ci.chef.co/job/chefdk-trigger-release/
harmony-trigger-ad_hoc,2015-12,18.81,7.91,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-01,26.58,9.42,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-02,0.45,7.93,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-03,29.10,9.58,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-04,27.68,9.12,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-05,12.33,13.16,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-06,29.00,0.00,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-ad_hoc,2016-07,28.11,0.00,http://manhattan.ci.chef.co/job/harmony-trigger-ad_hoc/
harmony-trigger-git_poll,2015-12,14.21,7.39,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-git_poll,2016-01,4.01,21.13,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
harmony-trigger-git_poll,2016-02,0.00,0.00,http://manhattan.ci.chef.co/job/harmony-trigger-git_poll/
